provinsi,jumlah
Jawa Timur,877
Jawa Barat,712
Jawa Tengah,486
Sulawesi Selatan,327
Sumatera Selatan,276
Sumatera Utara,252
Lampung,229
DKI Jakarta,213
Aceh,211
Nusa Tenggara Timur,192
Sulawesi Utara,188
Sulawesi Tenggara,185
Banten,171
Kalimantan Selatan,150
Nusa Tenggara Barat,149
Jambi,143
Riau,123
Sumatera Barat,122
Sulawesi Tengah,117
Bali,107
Gorontalo,93
DI Yogyakarta,93
Kalimantan Tengah,84
Bengkulu,81
Maluku,78
Kalimantan Timur,74
Kepulauan Riau,67
Kepulauan Bangka Belitung,62
Kalimantan Barat,61
Sulawesi Barat,60
Maluku Utara,51
Papua,37
Papua Barat,20
Kalimantan Utara,19
