provinsi,persentase
Jawa Tengah,502
Jawa Barat,499
Jawa Timur,455
Aceh,215
Sumatera  Barat,139
Kalimantan Selatan,117
Sumatera  Selatan,113
Sulawesi Selatan,111
DI Yogyakarta,108
Sumatera Utara,108
Bali,102
Sulawesi Utara,88
Banten,80
Lampung,75
Sulawesi Tengah,74
Nusa Tenggara Barat,66
Kalimantan Timur,64
Kalimantan Barat,53
Riau,43
Gorontalo,30
Jambi,30
Kep. Bangka Belitung,26
DKI Jakarta,25
Nusa Tenggara Barat,22
Maluku,20
Maluku Utara,11
Kep. Riau,11
Papua Barat,8
Kalimantan Tengah,8
Sulawesi Tenggara,7
Bengkulu,7
Kalimantan Utara,4
Papua,2
Sulawesi Barat,2
