;provinsi;kelompok
1;Jawa Barat;3
2;Jawa Timur;3
3;Jawa Tengah;3
4;DKI Jakarta;2
5;Sulawesi Tengah;1
6;Sulawesi Barat;1
7;Kalimantan Utara;1
8;Maluku;1
9;Gorontalo;1
10;Sulawesi Utara;1
11;Maluku Utara;1
12;Papua;1
13;Sulawesi Tenggara;1
14;Papua Barat;1
15;Kalimantan Tengah;1
16;Sumatera Selatan;0
17;Kepulauan Bangka Belitung;0
18;Nusa Tenggara Timur;0
19;Sumatera Utara;0
20;Kalimantan Selatan;0
21;Sumatera Barat;0
22;Bali;0
23;Sulawesi Selatan;0
24;Kalimantan Timur;0
25;Aceh;0
26;Kalimantan Barat;0
27;Jambi;0
28;Bengkulu;0
29;Riau;0
30;Kepulauan Riau;0
31;Lampung;0
32;DI Yogyakarta;0
33;Banten;0
34;Nusa Tenggara Barat;0
